"Account owner","Kontoinhaber"
"Addressfield to use for housenumber","Addressfield to use for housenumber"
"Billie Order History","Billie Order History"
"Billie PayAfterDelivery:  The transaction with the id %s was successfully canceled.","Billie PayAfterDelivery:  The transaction with the id %s was successfully canceled."
"Billie PayAfterDelivery: payment accepted for %s","Billie PayAfterDelivery: payment accepted for %s"
"Duration","Zahlungsziel"
"Female","Frau"
"HR-NR","HR-NR"
"Industry Sector","Industriesektor"
"Invoice Download Url","Invoice Download Url"
"Legal form is a required field.\n","Legal form is a required field.\n"
"Legal Form","Rechtsform"
"Male","Herr"
"Order is not shipped yet","Order is not shipped yet"
"Pay after delivery","Bezahlen nach Versandt"
"please select","Bitte wählen"
"Registration Number","Registration Number"
"Salutation","Anrede"
"The input must be between 0 and 120","The input must be between 0 and 120"
"The input must be numeric only","The input must be numeric only"
"This transaction is already closed, refunds with billie payment are not possible anymore","This transaction is already closed, refunds with billie payment are not possible anymore"
"Url to invoice document folder","Url to invoice document folder"b
"VAT ID","VAT ID"
"VBIC","BIC"
"VIBAN","IBAN"